City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,ilinskiy,55.619,38.1182,-0.16,93,100,3.0,RU,1675557093
129,bereda,43.2686,-7.5406,5.64,100,82,3.0,ES,1675557094
130,verkh-usugli,52.7,115.1667,-23.81,93,15,1.08,RU,1675557094
131,constitucion,-35.3333,-72.4167,14.85,96,18,0.62,CL,1675557095
132,calama,-22.4667,-68.9333,14.27,88,40,6.17,CL,1675556861
133,robertsport,6.7533,-11.3686,26.26,90,100,3.45,LR,1675557095
134,vallenar,-28.5708,-70.7581,22.24,58,84,1.94,CL,1675557096
135,sitka,57.0531,-135.33,2.94,87,100,1.54,US,1675557096
136,dolores,-36.3132,-57.6792,16.31,76,0,4.16,AR,1675557097
137,pevek,69.7008,170.3133,-37.08,100,38,1.27,RU,1675557097
138,geraldton,-28.7667,114.6,26.23,73,40,3.6,AU,1675557097
139,pasighat,28.0667,95.3333,15.54,38,32,1.01,IN,1675557098
140,linhares,-19.3911,-40.0722,24.63,88,8,3.02,BR,1675556799
141,tessalit,20.1986,1.0114,14.99,16,30,4.68,ML,1675557098
142,tasiilaq,65.6145,-37.6368,-3.91,93,100,16.27,GL,1675557099
143,beisfjord,68.3751,17.5988,1.93,81,100,4.1,NO,1675557099
144,grindavik,63.8424,-22.4338,3.26,93,100,10.8,IS,1675556857
145,katherine,-14.4667,132.2667,29.18,58,6,2.57,AU,1675557100
146,cam ranh,11.9214,109.1591,24.98,73,40,2.57,VN,1675556850
147,jagdalpur,19.0667,82.0333,12.08,23,3,0.87,IN,1675557017
148,reviga,44.7167,27.1,-1.61,81,100,11.23,RO,1675557101
149,opuwo,-18.0607,13.84,19.68,40,86,2.06,NA,1675557102
150,neuquen,-38.9516,-68.0591,32.94,27,0,2.06,AR,1675557103
151,saint-joseph,-21.3667,55.6167,24.21,83,98,4.15,RE,1675557103
152,razole,16.4833,81.8333,17.52,92,6,1.57,IN,1675557104
153,rio tinto,41.1826,-8.5581,8.49,79,0,1.03,PT,1675556979
154,tchibanga,-2.85,11.0333,22.16,97,100,1.35,GA,1675557104
155,clyde river,70.4692,-68.5914,-26.87,63,100,7.72,CA,1675557104
156,cidreira,-30.1811,-50.2056,22.65,74,9,2.33,BR,1675557105
157,saint-philippe,-21.3585,55.7679,24.77,84,94,4.25,RE,1675557105
158,namibe,-15.1961,12.1522,21.05,79,100,2.32,AO,1675557106
159,mahebourg,-20.4081,57.7,26.16,83,40,1.54,MU,1675557106
160,boa vista,2.8197,-60.6733,27.99,69,40,2.06,BR,1675557075
161,biak,-0.9131,122.8766,25.14,82,99,2.11,ID,1675556911
162,kodiak,57.79,-152.4072,2.73,65,0,0.0,US,1675557108
163,tura,25.5198,90.2201,12.54,64,4,1.16,IN,1675557108
164,swan hill,-35.3378,143.5544,22.63,36,0,2.69,AU,1675557109
165,agirish,61.9247,63.0231,-14.55,95,100,1.33,RU,1675557110
166,lagoa,39.05,-27.9833,15.06,89,3,8.68,PT,1675556811
167,plaster rock,46.9065,-67.39,-21.71,88,23,4.33,CA,1675557110
168,viedma,-40.8135,-62.9967,23.21,48,0,7.43,AR,1675557071
169,fayaoue,-20.65,166.5333,28.9,83,64,8.7,NC,1675557111
170,uva,56.9908,52.1852,-12.3,97,100,1.17,RU,1675557111
171,mersing,2.4312,103.8405,24.95,94,40,2.06,MY,1675557112
